POS,NO,NAME,NAT,ENTRY,TIME,LAPS,ON,DATE,CIRCUIT,YEAR,SESSION,DAY,FILENAME
1,7,Kimi Raikkonen,FIN,Scuderia Ferrari,1:30.665,103,83.0,13 July 2016,Silverstone,2016,4,2,2016-4-2.gif
2,24,Esteban Ocon,FRA,Mercedes Amg Petronas Formula One Team,1:31.212,139,51.0,13 July 2016,Silverstone,2016,4,2,2016-4-2.gif
3,15,Pierre Gasly,FRA,Red Bull Racing,1:31.429,103,101.0,13 July 2016,Silverstone,2016,4,2,2016-4-2.gif
4,34,Nikita Mazepin,RUS,Sahara Force India F1 Team,1:31.561,69,57.0,13 July 2016,Silverstone,2016,4,2,2016-4-2.gif
5,47,Stoffel Vandoorne,BEL,Mclaren Honda,1:31.764,78,,13 July 2016,Silverstone,2016,4,2,2016-4-2.gif
6,77,Valtteri Bottas,FIN,Williams Martini Racing,1:32.423,98,86.0,13 July 2016,Silverstone,2016,4,2,2016-4-2.gif
7,51,Santino Ferrucci,USA,Haas F1 Team,1:33.141,107,89.0,13 July 2016,Silverstone,2016,4,2,2016-4-2.gif
8,30,Jolyon Palmer,GBR,Renault Sport Formula One Team,1:33.308,98,97.0,13 July 2016,Silverstone,2016,4,2,2016-4-2.gif
9,9,Sergio Sette Camara,BRA,Scuderia Toro Rosso,1:34.040,82,43.0,13 July 2016,Silverstone,2016,4,2,2016-4-2.gif
10,42,I0 Jordan King,GBR,Manor F1 Team,1:35.060,70,63.0,13 July 2016,Silverstone,2016,4,2,2016-4-2.gif
1,6,Nico Ro Sberg,GER,Mercedes Amg Petronas Formula One Team,1:09.113,56,,25 June 2015,Spielberg,2015,5,2,2015-5-2.gif
2,21,Esteban Gutierrez,MEX,Scuderia Ferrari,1:09.931,110,93.0,25 June 2015,Spielberg,2015,5,2,2015-5-2.gif
3,77,Valtteri Bottas,FIN,Williams Martini Racing,1:10.029,79,30.0,25 June 2015,Spielberg,2015,5,2,2015-5-2.gif
4,38,Marco Wittmann,GER,Scuderia Toro Rosso,1:10.103,158,105.0,25 June 2015,Spielberg,2015,5,2,2015-5-2.gif
5,34,Pascal Wehrlein,GER,Sahara Force India F1 Team,1:10.253,132,38.0,25 June 2015,Spielberg,2015,5,2,2015-5-2.gif
6,30,Jolyon Palmer,GBR,Lotus F1 Team,1:10.373,110,104.0,25 June 2015,Spielberg,2015,5,2,2015-5-2.gif
7,14,Fernando Alonso,ESP,Mclaren Honda,1:10.718,104,38.0,25 June 2015,Spielberg,2015,5,2,2015-5-2.gif
8,3,Daniel Ricciardo,AUS,Infiniti Red Bull Racing,1:10.757,116,114.0,25 June 2015,Spielberg,2015,5,2,2015-5-2.gif
9,12,Felipe Na Sr,BRA,Sauber F1 Team,1:10.922,138,89.0,25 June 2015,Spielberg,2015,5,2,2015-5-2.gif
1,5,Sebastian Vettel,GER,Souderia Ferrari,1:22.852,142,29.0,04 March 2016,Barcelona,2016,2,4,2016-2-4.gif
2,55,Carlos Sainz,ESP,Scuderia Toro Rosso,1:23.134,133,48.0,04 March 2016,Barcelona,2016,2,4,2016-2-4.gif
3,19,Felipe Ma Ssa,BRA,Williams Martini Racing,1:23.644,129,93.0,04 March 2016,Barcelona,2016,2,4,2016-2-4.gif
4,11,Sergio Perez,MEX,Sahara Force India F1 Team,1:23.721,60,36.0,04 March 2016,Barcelona,2016,2,4,2016-2-4.gif
5,44,Lewis Hamilton,GBR,Mercedes Amg Petronas Formula One Team,1:24.133,69,21.0,04 March 2016,Barcelona,2016,2,4,2016-2-4.gif
,6,Daniel Ricciardo,AUS,Red Bull Racing,1:24.427,123,54.0,04 March 2016,Barcelona,2016,2,4,2016-2-4.gif
7,22,Jenson Button,GBR,Mclaren Honda,1:24.714,121,23.0,04 March 2016,Barcelona,2016,2,4,2016-2-4.gif
8,30,Jolyon Palmer,GBR,Renault Sport Formula One Team,1:24.859,90,29.0,04 March 2016,Barcelona,2016,2,4,2016-2-4.gif
